"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr","abl_model"
"ANNEAL",1,0.01,0.025,0.9762,0.0731319554848967,0.0831,0.4625,"Optimal",2.106,44.4883,409,12,"no_abl"
"ANNEAL",1,0.01,0.025,0.9762,0.0731319554848967,0.0831,0.4625,"Optimal",4.518,46.4153,409,12,"abl_conf"
"ANNEAL",1,0.01,0.025,0.9762,0.0731319554848967,0.0831,0.3257,"Optimal",1.763,43.7185,409,12,"abl_supp"
"ANNEAL",1,0.01,0.025,0.9762,0.0731319554848967,0.0831,0.373,"Optimal",2.051,44.1458,409,12,"abl_length"
"ANNEAL",1,0.01,0.025,0.9762,0.0731319554848967,0.0831,0.4625,"Optimal",2.6,45.2597,409,12,"abl_mod"
"ANNEAL",1,0.999,0.025,0.9762,0.0731319554848967,0.1189,0.4658,"Optimal",0.646,43.147,409,10,"abl_acc"
"ANNEAL",1,0.01,0.999,0.4706,0.0731319554848967,0.0068,0,"Optimal",0.741,43.5632,409,1,"abl_min_cov"
"ANNEAL",1,0.01,0.025,0.9762,0.0731319554848967,0.0831,0.4625,"Optimal",5.005,47.6707,409,12,"abl_max_cov"
"ANNEAL",1,0.01,0.025,0.9762,0.0731319554848967,0.0831,0.4625,"Optimal",2.127,44.7259,409,12,"abl_overlap"
"ANNEAL",1,0.01,0.025,0.9762,0.0731319554848967,0.0831,0.4528,"Optimal",55.151,457.3885,3882,11,"abl_preselect"
"ANNEAL",2,0.01,0.025,0.9759,0.0667726550079492,0.0692,0.4366,"Optimal",0.703,40.8074,392,12,"no_abl"
"ANNEAL",2,0.01,0.025,0.9759,0.0667726550079492,0.0692,0.4349,"Optimal",1.046,40.8159,392,12,"abl_conf"
"ANNEAL",2,0.01,0.025,0.9759,0.0667726550079492,0.0692,0.4366,"Optimal",0.61,40.4228,392,12,"abl_supp"
"ANNEAL",2,0.01,0.025,0.9759,0.0667726550079492,0.0692,0.4366,"Optimal",0.793,40.9477,392,12,"abl_length"
"ANNEAL",2,0.01,0.025,0.9759,0.0667726550079492,0.0692,0.4366,"Optimal",0.602,40.8402,392,12,"abl_mod"
"ANNEAL",2,0.999,0.025,0.9759,0.0667726550079492,0.0988,0.4728,"Optimal",0.712,40.7861,392,12,"abl_acc"
"ANNEAL",2,0.01,0.999,0.4727,0.0667726550079492,0.0034,0,"Optimal",0.548,41.4261,392,1,"abl_min_cov"
"ANNEAL",2,0.01,0.025,0.9759,0.0667726550079492,0.0692,0.4366,"Optimal",0.705,40.3567,392,12,"abl_max_cov"
